number,firstName,lastName,gender,DOB,residency
250221375,Paul,Kelly,Male,1998-12-01,Permanent
250309716,Ryan,Fox,Male,1999-01-01,Canadian/Native
250136525,Bobby,Foster,Male,1996-12-29,Canadian/Native
250774801,Kenneth,Alvarez,Male,1996-05-16,Canadian/Native
250597265,Marie,Johnston,Female,1997-06-04,Canadian/Native
250716359,Shirley,Harris,Female,1997-04-13,International
250812787,Rebecca,Wheeler,Female,1996-10-23,Permanent
250648645,Russell,Wagner,Male,1996-03-15,Permanent
250719192,Wayne,Williams,Male,1996-02-12,Canadian/Native
250765611,Paul,Martin,Male,1996-08-22,Canadian/Native
250985159,Gerald,Day,Male,1997-09-23,Permanent
250768912,Nicholas,West,Male,1996-03-02,Canadian/Native
250818026,Amanda,Burns,Female,1999-02-03,Canadian/Native
250166907,George,Fisher,Male,1997-04-23,Canadian/Native
250543890,Louise,Bell,Female,1997-02-09,International
250306918,Alan,Reyes,Male,1999-01-04,Permanent
250466881,Jennifer,Foster,Female,1995-05-08,Canadian/Native
250889258,Nancy,Harrison,Female,1997-05-29,Canadian/Native
250170231,Joshua,Thomas,Male,1998-08-28,Permanent
250828264,Aaron,Flores,Male,1999-02-10,Canadian/Native
250848824,Mary,Brown,Female,1995-08-08,Permanent
250633456,Phillip,Gomez,Male,1998-06-23,Canadian/Native
250156223,Marilyn,Alexander,Female,1996-01-18,Canadian/Native
250600495,Jesse,Stephens,Male,1997-08-17,Permanent
250666488,Wayne,Lee,Male,1996-03-02,Canadian/Native
250802925,Jason,Howard,Male,1998-05-09,International
250678870,Jeffrey,Green,Male,1998-07-06,International
250849702,Denise,Richards,Female,1997-05-20,Permanent
250450673,Christopher,Willis,Male,1995-05-12,Permanent
250179421,Albert,Cunningham,Male,1996-05-18,Permanent
250166296,Jimmy,Carpenter,Male,1998-04-22,International
250673820,Kevin,Edwards,Male,1998-01-03,Canadian/Native
250686219,Clarence,Morales,Male,1998-07-12,Canadian/Native
250699294,Catherine,Nguyen,Female,1998-01-13,Canadian/Native
250168337,Dennis,Wright,Male,1996-09-22,Permanent
250927636,Rebecca,Morris,Female,1998-04-07,Permanent
250346445,Walter,Ryan,Male,1995-09-19,Canadian/Native
250635532,Timothy,Weaver,Male,1996-01-27,International
250462994,Jacqueline,Gray,Female,1995-12-12,Permanent
250276970,Jennifer,Alvarez,Female,1997-08-10,Canadian/Native
250557394,Antonio,Kelley,Male,1998-11-18,Canadian/Native
250411520,Jonathan,Fernandez,Male,1997-04-07,Permanent
250125844,Joshua,Jones,Male,1998-11-29,Permanent
250484603,Jane,Hall,Female,1997-01-08,International
250243534,Theresa,Gibson,Female,1996-12-17,Permanent
250330080,Deborah,Lynch,Female,1998-05-04,Canadian/Native
250443409,Lois,Richardson,Female,1999-02-14,International
250317923,Shawn,Knight,Male,1998-04-18,Permanent
250415190,Amy,Smith,Female,1997-04-12,Canadian/Native
250152724,John,Brooks,Male,1995-02-28,Canadian/Native
250573624,Ralph,Simpson,Male,1998-12-10,International
250804161,Virginia,Griffin,Female,1995-10-03,International
250402413,Victor,Fuller,Male,1998-12-25,Permanent
250307113,Marie,Andrews,Female,1996-10-22,Canadian/Native
250682721,Cynthia,Pierce,Female,1997-09-27,Canadian/Native
250932668,Martin,Hart,Male,1997-09-28,Permanent
250696826,Ruth,Wright,Female,1997-09-24,International
250942416,Lillian,James,Female,1995-11-28,Canadian/Native
250595224,Lisa,Morrison,Female,1995-08-18,International
250167391,Joan,Jacobs,Female,1995-07-04,Canadian/Native
250808736,Melissa,Stewart,Female,1996-10-19,Permanent
250152317,Ann,Watkins,Female,1997-08-30,Canadian/Native
250609490,Patrick,Boyd,Male,1995-06-05,Canadian/Native
250790339,Judith,Mccoy,Female,1996-11-08,Canadian/Native
250475045,Amanda,Ferguson,Female,1996-11-22,Permanent
250309660,Louise,Williamson,Female,1997-10-20,Permanent
250885699,Larry,Reyes,Male,1996-04-27,Permanent
250672987,Jimmy,Williams,Male,1999-02-16,International
250725286,Patrick,James,Male,1997-03-26,Canadian/Native
250972077,Ashley,Martin,Female,1998-03-02,Canadian/Native
250318419,Jessica,Long,Female,1997-10-07,International
250551659,Scott,Powell,Male,1998-12-20,International
250597777,Adam,Andrews,Male,1996-10-01,Canadian/Native
250157477,Daniel,Wood,Male,1998-11-20,Canadian/Native
250228752,Gregory,Olson,Male,1996-06-01,International
250808212,Michael,Howard,Male,1998-12-15,Canadian/Native
250475480,Bobby,Lewis,Male,1997-07-02,International
250196058,Brian,Jacobs,Male,1998-08-15,Canadian/Native
250304000,Diana,Evans,Female,1995-07-30,Canadian/Native
250911898,Angela,Murray,Female,1998-09-01,International
250641941,Nancy,Alvarez,Female,1997-05-28,Canadian/Native
250464038,Wanda,Wells,Female,1998-06-27,Canadian/Native
250769318,Peter,Riley,Male,1995-04-28,Canadian/Native
250606975,Timothy,Riley,Male,1995-03-31,International
250586970,Sharon,Lynch,Female,1997-12-16,Canadian/Native
250636663,Emily,Butler,Female,1997-09-14,International
250833383,Walter,Elliott,Male,1996-01-19,Permanent
250712396,Mary,Rivera,Female,1997-06-01,Permanent
250466084,Anne,Woods,Female,1995-05-07,International
250432165,Clarence,Mills,Male,1996-01-12,Canadian/Native
250777954,Lisa,Carroll,Female,1995-03-28,International
250407447,Tammy,Hunter,Female,1997-03-23,Canadian/Native
250186630,Eugene,Franklin,Male,1996-10-23,International
250691047,Jeremy,Nichols,Male,1995-06-15,Canadian/Native
250838027,Brenda,Ruiz,Female,1998-11-16,Canadian/Native
250716635,Norma,Kim,Female,1995-07-03,Canadian/Native
250878281,Debra,Lewis,Female,1995-10-27,International
250791153,Donald,Scott,Male,1998-04-05,Canadian/Native
250347595,Laura,Gibson,Female,1998-08-23,Canadian/Native
250192961,Louis,Bowman,Male,1997-09-01,Canadian/Native
